Safe File	Obfu File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE116_incorrect-autoescape-disabled_SAFE1.txt CWE116_incorrect-autoescape-disabled_obfu.txt	0.2830	0.7060	0.4780	0.666667	0.59200		0.36566264052611996	Moderate
CWE116_incorrect-autoescape-disabled_SAFE2.txt CWE116_incorrect-autoescape-disabled_obfu.txt	0.2830	0.7060	0.4780	0.666667	0.59200		0.36566264052611996	Moderate
CWE116_incorrect-autoescape-disabled_SAFE3.txt CWE116_incorrect-autoescape-disabled_obfu.txt	0.2830	0.7060	0.4780	0.666667	0.59200		0.36566264052611996	Moderate
CWE116_incorrect-autoescape-disabled_SAFE4.txt CWE116_incorrect-autoescape-disabled_obfu.txt	0.3599	0.7527	0.4267	0.666667	0.58970		0.3087654251473004	Weak
CWE116_incorrect-autoescape-disabled_SAFE5.txt CWE116_incorrect-autoescape-disabled_obfu.txt	0.3493	0.7815	0.4338	0.666667	0.60765		0.30113281581809115	Weak
CWE295_disabled-cert-validation_SAFE1.txt	CWE295_disabled-cert-validation_obfu.txt	0.2945	0.8247	0.7055	1.000000	0.76510	0.7891410930381824	Strong
CWE295_disabled-cert-validation_SAFE2.txt	CWE295_disabled-cert-validation_obfu.txt	0.2945	0.8247	0.7055	1.000000	0.76510	0.7891410930381824	Strong
CWE295_disabled-cert-validation_SAFE3.txt	CWE295_disabled-cert-validation_obfu.txt	0.2945	0.8247	0.7055	1.000000	0.76510	0.7891410930381824	Strong
CWE295_disabled-cert-validation_SAFE4.txt	CWE295_disabled-cert-validation_obfu.txt	0.2945	0.8247	0.7055	1.000000	0.76510	0.7891410930381824	Strong
CWE295_disabled-cert-validation_SAFE5.txt	CWE295_disabled-cert-validation_obfu.txt	0.2945	0.8247	0.7055	1.000000	0.76510	0.7891410930381824	Strong
CWE319_require-encryption_SAFE1.txt	CWE319_require-encryption_obfu.txt	0.2945	0.8247	0.7055	1.000000	0.76510	0.7891410930381824	Strong
