Safe File	Vulnerable File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_SAFE.txt CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN1.txt	0.0015	0.6830	0.9985	1.000000	0.84075		0.6655427127743564	Strong
CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_SAFE.txt CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN2.txt	0.0015	0.7393	0.9985	1.000000	0.86890		0.5244220203851885	Moderate
CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_SAFE.txt CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN3.txt	0.0015	0.7783	0.9985	1.000000	0.88840		0.4885713881140175	Moderate
CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_SAFE.txt CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN4.txt	0.0015	0.6267	0.9985	1.000000	0.81260		0.8833333333333333	Strong
CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_SAFE.txt CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN5.txt	0.0015	0.7218	0.9985	1.000000	0.86015		0.5534875794554843	Moderate
CWE116_incorrect-autoescape-disabled_SAFE.txt	CWE116_incorrect-autoescape-disabled_VULN1.txt	0.0015	0.7304	0.9985	1.000000	0.86445	0.8833333333333333	Strong
CWE116_incorrect-autoescape-disabled_SAFE.txt	CWE116_incorrect-autoescape-disabled_VULN2.txt	0.0015	0.8331	0.9985	1.000000	0.91580	0.8833333333333333	Strong
CWE116_incorrect-autoescape-disabled_SAFE.txt	CWE116_incorrect-autoescape-disabled_VULN3.txt	0.0059	0.8957	0.6627	0.666667	0.77920	0.8813632058287798	Strong
CWE116_incorrect-autoescape-disabled_SAFE.txt	CWE116_incorrect-autoescape-disabled_VULN4.txt	0.0015	0.7211	0.9985	1.000000	0.85980	0.8833333333333333	Strong
CWE116_incorrect-autoescape-disabled_SAFE.txt	CWE116_incorrect-autoescape-disabled_VULN5.txt	0.0015	0.6939	0.9985	1.000000	0.84620	0.8833333333333333	Strong
CWE295_disabled-cert-validation_SAFE.txt	CWE295_disabled-cert-validation_VULN1.txt	0.0132	0.5666	0.6578	0.666667	0.61220	0.5775811907097208	Moderate
