                                                                           Safe File                                                                           Obfu File  AST Distance  Conceptual Similarity  Fitness  Pass Rate  Score Value
                                                 CWE22_path-traversal-join_SAFE1.txt                                                  CWE22_path-traversal-join_obfu.txt        0.2992                 0.6122   0.7008        1.0      0.65650
                                                 CWE22_path-traversal-join_SAFE2.txt                                                  CWE22_path-traversal-join_obfu.txt        0.3880                 0.6842   0.6120        1.0      0.64810
                                                 CWE22_path-traversal-join_SAFE3.txt                                                  CWE22_path-traversal-join_obfu.txt        0.4443                 0.4518   0.5557        1.0      0.50375
                                                 CWE22_path-traversal-join_SAFE4.txt                                                  CWE22_path-traversal-join_obfu.txt        0.4303                 0.6298   0.5697        1.0      0.59975
                                                 CWE22_path-traversal-join_SAFE5.txt                                                  CWE22_path-traversal-join_obfu.txt        0.3256                 0.5467   0.6744        1.0      0.61055
                                               CWE22_path-traversal-join-1_SAFE1.txt                                                CWE22_path-traversal-join-1_obfu.txt        0.1801                 0.8334   0.8199        1.0      0.82665
                                               CWE22_path-traversal-join-1_SAFE2.txt                                                CWE22_path-traversal-join-1_obfu.txt        0.3382                 0.6639   0.6618        1.0      0.66285
                                               CWE22_path-traversal-join-1_SAFE3.txt                                                CWE22_path-traversal-join-1_obfu.txt        0.1869                 0.8190   0.8131        1.0      0.81605
                                               CWE22_path-traversal-join-1_SAFE4.txt                                                CWE22_path-traversal-join-1_obfu.txt        0.1869                 0.8190   0.8131        1.0      0.81605
                                               CWE22_path-traversal-join-1_SAFE5.txt                                                CWE22_path-traversal-join-1_obfu.txt        0.3391                 0.7269   0.6609        1.0      0.69390
                         CWE22_path-traversal-join_func = open-data = func_SAFE1.txt                          CWE22_path-traversal-join_func = open-data = func_obfu.txt        0.3867                 0.6568   0.6133        1.0      0.63505
                         CWE22_path-traversal-join_func = open-data = func_SAFE2.txt                          CWE22_path-traversal-join_func = open-data = func_obfu.txt        0.2790                 0.7825   0.7210        1.0      0.75175
                         CWE22_path-traversal-join_func = open-data = func_SAFE3.txt                          CWE22_path-traversal-join_func = open-data = func_obfu.txt        0.1953                 0.8454   0.8047        1.0      0.82505
                         CWE22_path-traversal-join_func = open-data = func_SAFE4.txt                          CWE22_path-traversal-join_func = open-data = func_obfu.txt        0.2790                 0.7952   0.7210        1.0      0.75810
                         CWE22_path-traversal-join_func = open-data = func_SAFE5.txt                          CWE22_path-traversal-join_func = open-data = func_obfu.txt        0.2020                 0.8308   0.7980        1.0      0.81440
                                             CWE22_path-traversal-join_ori_SAFE1.txt                                              CWE22_path-traversal-join_ori_obfu.txt        0.1927                 0.7239   0.8073        1.0      0.76560
                                             CWE22_path-traversal-join_ori_SAFE2.txt                                              CWE22_path-traversal-join_ori_obfu.txt        0.2668                 0.6697   0.7332        1.0      0.70145
                                             CWE22_path-traversal-join_ori_SAFE3.txt                                              CWE22_path-traversal-join_ori_obfu.txt        0.2325                 0.7364   0.7675        1.0      0.75195
                                             CWE22_path-traversal-join_ori_SAFE4.txt                                              CWE22_path-traversal-join_ori_obfu.txt        0.1970                 0.7131   0.8030        1.0      0.75805
                                             CWE22_path-traversal-join_ori_SAFE5.txt                                              CWE22_path-traversal-join_ori_obfu.txt        0.1536                 0.7275   0.8464        1.0      0.78695
                                                          CWE319_telnetlib_SAFE1.txt                                                           CWE319_telnetlib_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                          CWE319_telnetlib_SAFE2.txt                                                           CWE319_telnetlib_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                          CWE319_telnetlib_SAFE3.txt                                                           CWE319_telnetlib_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                          CWE319_telnetlib_SAFE4.txt                                                           CWE319_telnetlib_obfu.txt        0.2020                 0.3822   0.7980        1.0      0.59010
                                                          CWE319_telnetlib_SAFE5.txt                                                           CWE319_telnetlib_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                        CWE319_use-ftp-tls_SAFE1.txt                                                         CWE319_use-ftp-tls_obfu.txt        0.1657                 0.4814   0.8343        1.0      0.65785
                                                        CWE319_use-ftp-tls_SAFE2.txt                                                         CWE319_use-ftp-tls_obfu.txt        0.4677                 0.5755   0.5323        1.0      0.55390
                                                        CWE319_use-ftp-tls_SAFE3.txt                                                         CWE319_use-ftp-tls_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                        CWE319_use-ftp-tls_SAFE4.txt                                                         CWE319_use-ftp-tls_obfu.txt        0.2058                 0.6277   0.7942        1.0      0.71095
                                                        CWE319_use-ftp-tls_SAFE5.txt                                                         CWE319_use-ftp-tls_obfu.txt        0.1657                 0.4814   0.8343        1.0      0.65785
                                      CWE327_insecure-cipher-algorithm-rc2_SAFE1.txt                                       CWE327_insecure-cipher-algorithm-rc2_obfu.txt        0.8409                 0.0873   0.1591        1.0      0.12320
                                      CWE327_insecure-cipher-algorithm-rc2_SAFE2.txt                                       CWE327_insecure-cipher-algorithm-rc2_obfu.txt        0.5602                 0.3955   0.4398        1.0      0.41765
                                      CWE327_insecure-cipher-algorithm-rc2_SAFE3.txt                                       CWE327_insecure-cipher-algorithm-rc2_obfu.txt        0.8945                 0.0913   0.1055        1.0      0.09840
                                      CWE327_insecure-cipher-algorithm-rc2_SAFE4.txt                                       CWE327_insecure-cipher-algorithm-rc2_obfu.txt        0.5821                 0.3548   0.4179        1.0      0.38635
                                      CWE327_insecure-cipher-algorithm-rc2_SAFE5.txt                                       CWE327_insecure-cipher-algorithm-rc2_obfu.txt        0.8329                 0.0974   0.1671        1.0      0.13225
                                       CWE327_insecure-hash-algorithm-sha1_SAFE1.txt                                        CWE327_insecure-hash-algorithm-sha1_obfu.txt        0.6844                 0.2153   0.3156        1.0      0.26545
                                       CWE327_insecure-hash-algorithm-sha1_SAFE2.txt                                        CWE327_insecure-hash-algorithm-sha1_obfu.txt        0.7738                 0.2339   0.2262        1.0      0.23005
                                       CWE327_insecure-hash-algorithm-sha1_SAFE3.txt                                        CWE327_insecure-hash-algorithm-sha1_obfu.txt        0.7261                 0.2342   0.2739        1.0      0.25405
                                       CWE327_insecure-hash-algorithm-sha1_SAFE4.txt                                        CWE327_insecure-hash-algorithm-sha1_obfu.txt        0.6833                 0.2153   0.3167        1.0      0.26600
                                       CWE327_insecure-hash-algorithm-sha1_SAFE5.txt                                        CWE327_insecure-hash-algorithm-sha1_obfu.txt        0.7921                 0.2361   0.2079        1.0      0.22200
                                                     CWE352_no-csrf-exempt_SAFE1.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.3171                 0.5372   0.6829        1.0      0.61005
                                                     CWE352_no-csrf-exempt_SAFE2.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.3482                 0.5294   0.6518        1.0      0.59060
                                                     CWE352_no-csrf-exempt_SAFE3.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.2126                 0.5665   0.7874        1.0      0.67695
                                                     CWE352_no-csrf-exempt_SAFE4.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.4074                 0.6200   0.5926        1.0      0.60630
                                                     CWE352_no-csrf-exempt_SAFE5.txt                                                      CWE352_no-csrf-exempt_obfu.txt        0.2809                 0.7404   0.7191        1.0      0.72975
                                                       CWE502_avoid-pickle_SAFE1.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4633                 0.1533   0.5367        1.0      0.34500
                                                       CWE502_avoid-pickle_SAFE2.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4767                 0.1533   0.5233        1.0      0.33830
                                                       CWE502_avoid-pickle_SAFE3.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4767                 0.1533   0.5233        1.0      0.33830
                                                       CWE502_avoid-pickle_SAFE4.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4633                 0.1533   0.5367        1.0      0.34500
                                                       CWE502_avoid-pickle_SAFE5.txt                                                        CWE502_avoid-pickle_obfu.txt        0.4767                 0.1533   0.5233        1.0      0.33830
                                                  CWE502_avoid-pickle-orig_SAFE1.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.3936                 0.3310   0.6064        1.0      0.46870
                                                  CWE502_avoid-pickle-orig_SAFE2.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.1980                 0.3822   0.8020        1.0      0.59210
                                                  CWE502_avoid-pickle-orig_SAFE3.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
                                                  CWE502_avoid-pickle-orig_SAFE4.txt                                                   CWE502_avoid-pickle-orig_obfu.txt        0.1960                 0.3822   0.8040        1.0      0.59310
