Safe File	Vulnerable File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE1333_regex-dos_SAFE.txt	CWE1333_regex-dos_VULNERABLE_1.txt	0.0085	1.0000	0.9958	1.000000	0.99790	0.8833333333333333	Strong
CWE1333_regex-dos_SAFE.txt	CWE1333_regex-dos_VULNERABLE_2.txt	0.0085	1.0000	0.9958	1.000000	0.99790	0.8833333333333333	Strong
CWE1333_regex-dos_SAFE.txt	CWE1333_regex-dos_VULNERABLE_3.txt	0.0085	1.0000	0.9958	1.000000	0.99790	0.8833333333333333	Strong
CWE1333_regex-dos_SAFE.txt	CWE1333_regex-dos_VULNERABLE_4.txt	0.0112	1.0000	0.9944	1.000000	0.99720	0.8833333333333333	Strong
CWE1333_regex-dos_SAFE.txt	CWE1333_regex-dos_VULNERABLE_5.txt	0.0112	1.0000	0.9944	1.000000	0.99720	0.8833333333333333	Strong
CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_SAFE.txt CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_VULNERABLE_1.txt	0.1494	0.9442	0.8974	1.000000	0.92080		0.4833333333333332	Moderate
CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_SAFE.txt CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_VULNERABLE_2.txt	0.0246	0.9382	0.9568	1.000000	0.94750		0.4833333333333332	Moderate
CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_SAFE.txt CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_VULNERABLE_3.txt	0.0109	0.9686	0.6526	0.666667	0.81060		0.4975041595752876	Moderate
CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_SAFE.txt CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_VULNERABLE_4.txt	0.0246	0.9686	0.6480	0.666667	0.80830		0.4975041595752876	Moderate
CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_SAFE.txt CWE200_avoid-bind-to-all-interfaces_'127.0.0.0'.replace('127','0')_VULNERABLE_5.txt	0.1849	0.9232	0.8691	1.000000	0.89615		0.4833333333333332	Moderate
CWE200_avoid-bind-to-all-interfaces_ori_SAFE.txt	CWE200_avoid-bind-to-all-interfaces_ori_VULNERABLE_1.txt	0.0109	0.9686	0.6526	0.666667	0.81060	0.8833333333333333	Strong
CWE200_avoid-bind-to-all-interfaces_ori_SAFE.txt	CWE200_avoid-bind-to-all-interfaces_ori_VULNERABLE_2.txt	0.2043	0.8311	0.8134	1.000000	0.82225	0.8833333333333333	Strong
